Title,Author,Downloads,Book_URL
More Letters of Charles Darwin — Volume 1,Charles Darwin,61201 downloads,https://www.gutenberg.org/ebooks/2739
Selected Works of Voltairine de Cleyre,Voltairine De Cleyre,60943 downloads,https://www.gutenberg.org/ebooks/43098
Eighty Years and More; Reminiscences 1815-1897,Elizabeth Cady Stanton,60875 downloads,https://www.gutenberg.org/ebooks/11982
Some Jewish Witnesses For Christ,Aaron Bernstein,60692 downloads,https://www.gutenberg.org/ebooks/37734
L'île mystérieuse (French),Jules Verne,60668 downloads,https://www.gutenberg.org/ebooks/14287
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary White Rowlandson,60638 downloads,https://www.gutenberg.org/ebooks/851
Voyage au Centre de la Terre (French),Jules Verne,60593 downloads,https://www.gutenberg.org/ebooks/4791
"The Adventures of Tom Sawyer, Complete",Mark Twain,60292 downloads,https://www.gutenberg.org/ebooks/74
"Les crimes de l'amour (French)",marquis de Sade,60239 downloads,https://www.gutenberg.org/ebooks/28718
A Little English Gallery,Louise Imogen Guiney,60229 downloads,https://www.gutenberg.org/ebooks/54219
"Pen-portraits of literary women :  by themselves and others, Volume 2 (of 2)",Unknown / Various,60216 downloads,https://www.gutenberg.org/ebooks/70200
Shakespeare's family,C. C. Stopes,60010 downloads,https://www.gutenberg.org/ebooks/26315
The Gay Cockade,Temple Bailey,59726 downloads,https://www.gutenberg.org/ebooks/16433
Harriet Martineau,Florence Fenwick Miller,59713 downloads,https://www.gutenberg.org/ebooks/36965
Tribute to Michael Hart (Arabic),Majid AlHydar,59308 downloads,https://www.gutenberg.org/ebooks/43007
Torchy and Vee,Sewell Ford,59155 downloads,https://www.gutenberg.org/ebooks/20628
Monte-Cristo's Daughter,Edmund Flagg,58496 downloads,https://www.gutenberg.org/ebooks/23184
The Lives and Opinions of Eminent Philosophers,Diogenes Laertius,58450 downloads,https://www.gutenberg.org/ebooks/57342
The Car of Destiny,C. N. Williamson and A. M. Williamson,56709 downloads,https://www.gutenberg.org/ebooks/23500
Venus im Pelz (German),Ritter von Leopold Sacher-Masoch,55984 downloads,https://www.gutenberg.org/ebooks/56156
"Famous Affinities of History: The Romance of Devotion. Vol 1-4, Complete",Lyndon Orr,55971 downloads,https://www.gutenberg.org/ebooks/4693
The Man Upstairs and Other Stories,P. G. Wodehouse,55823 downloads,https://www.gutenberg.org/ebooks/6768
Desperate Remedies,Thomas Hardy,55416 downloads,https://www.gutenberg.org/ebooks/3044
